id,name,country,status,formed_in,active
502,Apocalyptic,Spain,Split-up,1996,1996 (as Apocalyptic Devastation)| 1996-2000| 2008-2009
503,Apocalyptic Domination,Chile,Split-up,2012,2012-2015
504,Apocalyptic Fear,Canada,Split-up,1991,1991-1994
505,Apocalyptic Horror,United States,Active,1993,1993-1995| 2005-present
506,Apocalyptic Visions,United States,Split-up,2001,2001-2012
507,Apocrafyx,United States,Split-up,1992,1992-1994
508,Apocryfal,Finland,Active,2009,2009-present
509,Apocryphal,Mexico,Split-up,1994,1994-?
510,Apocryphal,United States,Active,2012,2012-present
511,Apogem,Poland,Split-up,N/A,N/A
512,Apollyn,United States,Changed name,1994,1994-1997| 1997-present (as Evil Incarnate)
513,Apollyon,Canada,Active,2014,2014-present
514,Apontokation,Spain,Active,2009,2009-present
515,Apophis,Germany,Active,1990,1989-1990 (as Raise Hell)| 1990-present
516,Apophizys,Brazil,Active,2012,2005-? (as SlaughterFleshcult)| 2012-present
517,Apoplexy,Finland,Changed name,1990,1990-1993| 1993-present (as Excrement)
518,Apoplexy,France,Unknown,1992,1992-?
519,Apoplexy,Slovakia,Split-up,1993,1993-2000
520,Apoptosis,Bolivia,Split-up,2007,2007-?
521,Aposento,Spain,Active,1990,1990-1997| 2012-present
522,Apostas,Romania,Split-up,1992,1992-?
523,Apostasia,Brazil,Split-up,1989,1989-?
524,Apostasia,Italy,Split-up,1995,1995-?
525,Apostasy,Australia,Split-up,1990,1990-?
526,Apostasy,Canada,Split-up,2000,2000-?
527,Apostasy,Germany,Split-up,2001,2001-2003
528,Apostasy,United States,Split-up,1991,1991-1995
529,Aposthem,France,Active,2006,2006-present
530,Apostle of Dementia,France,On hold,1997,1997-present
531,Apotemnophobia,Mexico,Active,2013,2013-present
532,Apotheoses,Germany,Split-up,1995,1995-1996
533,Approached by a God,Canada,Active,2004,2004-present
534,Apriori Death,Colombia,Active,2006,2006-present
535,Aprosopy,Germany,Active,1997,1997-2002| 2009-present
536,Aquelarre,Peru,Changed name,2000,2000-?| ?-present (as Dissector)
537,Arabian Death Mask,United States,Active,2012,2012-present
538,Arachne,Czech Republic,Split-up,2000,2000-?
539,Arachnid,Malta,Split-up,1996,1996-2008| 2010-2011
540,Arachnids,Nepal,Split-up,2006,2006-?
541,Arachnophobia,Ukraine,Split-up,1992,1992-1994
542,Arakhne,International,Active,2008,2008-present
543,Aramaic,United Arab Emirates,Active,2011,2011-present
544,Aratron,Netherlands,Active,2000,2000-2002| 2008-present
545,Arbiter,United States,Split-up,2005,2005-?
546,Arbitrator,United States,Changed name,2005,2005-2012| 2012-present (as Galaxy Crusher)
547,Arcane,El Salvador,Split-up,2002,2002-2007
548,Arcane,Netherlands,Split-up,1996,1996-?
549,Arcane Aeon,Brazil,Split-up,2001,2001-2010
550,Arcanum,Austria,Split-up,2004,2004-2009
551,Archaic Icon,France,Active,1999,1999-?| 2012-present
552,Archaic Thorn,Germany,Active,2010,2010-present
553,Archaios Ophios,Russia,Split-up,2003,2003-2008
554,Archanger,Poland,Split-up,1999,1999-2006
555,Archegonus,Chile,Active,1998,1993-1996 (as Utopia)| 1997-1998 (as Delirium Tremens)| 1998-present
556,Archeopcys,Mexico,Active,2010,2010-present
557,Archimime,United States,Active,2008,2008-present
558,Architecture of Aggression,South Africa,Split-up,1995,1995-2011
559,Arcosolium,Sweden,On hold,2008,2008-2012
560,Arctic Symphony,United States,Split-up,1995,1995-?
561,Arcturus,United States,Split-up,1990,1990-?
562,Arduous Task,United States,Active,2008,2008 (as Subhuman Slaughter)| 2008-present
563,Argentry,Netherlands,Split-up,N/A,N/A
564,Arhat,Mexico,Split-up,N/A,N/A
565,Arhont,Macedonia (FYROM),On hold,2005,2005-present
566,Aries Vehemens,Poland,Active,2002,2002-present
567,Arioch,United States,Split-up,N/A,N/A
568,Arise,Denmark,Split-up,N/A,N/A
569,Arius,United States,Split-up,1992,1992-1994 (as Eviscerate)| 1994-?
570,Arkana Code,Italy,Active,2008,2008-present
571,Arkano,Peru,Split-up,1988,1988-1991
572,Arkavus,Colombia,Split-up,1995,1995-?
573,Arkenemy,Italy,Split-up,1995,1995-?
574,Arkham Asylum,Italy,Split-up,2003,2003-?
575,Arkhan,Colombia,Active,2008,2008-present
576,Arkkham,Brazil,Unknown,1990,1990-?
577,Arkonen,France,Split-up,1992,1992-?
578,Armada,Mexico,Active,2009,2009-present
579,Armagedon,Poland,Active,1987,1986-1987 (as Creeping Death)| 1987-1994| 1997| 2000| 2006-present
580,Armaroth,Slovenia,Active,2007,2007-present
581,Armies of Enlil,Romania,Unknown,2010,2010-?
582,Army of Corpses,Israel,Split-up,1993,1993
583,Arsames,Iran,Active,2002,2002-present
584,Arsenal Death,Mexico,Split-up,1988,1988-?
585,Arsnik,United States,Active,2008,2008-present
586,Arson,Hungary,On hold,2001,2001-?
587,Art of Butchery,Hungary,Split-up,N/A,N/A
588,Art of Darkness,Italy,Unknown,2000,2000-?
589,Art of Massacre,Hungary,Active,2002,2002-? (as Morass)| ?-? (as Spine Deforming)| ?-present
590,Art of Pain,Germany,Split-up,N/A,N/A
591,Art of Premonition,Netherlands,Active,1994,1994-2002| 2006-present
592,Art of Torture,Brazil,Active,2009,2009-present
593,Arterial Mist,United States,Active,2012,2012-present
594,Artery,Israel,Active,2015,2015-present
595,Artery Knife,United States,Split-up,1999,1999-2002
596,Arthema,Chile,Split-up,2006,2006-?
597,Arti di una Societá Fallita,Italy,Active,2004,2004-present
598,Artrosis,Spain,Split-up,1992,1992-?
599,Arwah,Indonesia,Unknown,1997,1997-?
600,As Flesh Decays,Australia,Active,2012,2012-present
601,As It Comes,France,Active,2008,2004-2008 (as Azitkom)| 2008-present
602,As Light Fades,Mexico,Split-up,1995,1995-1996
603,As Long as People Die,United States,Split-up,2004,2004-?
604,As the World Burns,United States,Split-up,N/A,?-2001
605,Asafated,Turkey,Split-up,1993,1993-2000| 2003-2015
606,Asalmatum,Colombia,Split-up,1989,1989-?
607,Asarhadon,Poland,Split-up,1989,1989-?
608,Ascaris,Poland,Split-up,1991,1991-?
609,Ascend the Fallen,United States,Active,N/A,N/A
610,Ascendancy,United States,Split-up,1999,1999-?
611,Ascended,Finland,Active,2006,2006-2011| 2014-present
612,Ascended Dead,United States,Active,2011,2011-present
613,Ascension,Germany,Active,1997,1993 (as Black Future)| 1993-1997 (as Decay)| 1997-present
614,Ascent,Russia,Active,2013,2013-present
615,Asepsia,Spain,Split-up,N/A,N/A
616,Asgard,France,Split-up,1994,1994-?
617,Ashcloud,International,Active,2013,2005-2006 (as Skinbag)| 2013-present
618,Ashema,Belgium,Unknown,2005,2005-?
619,Ashen Earth,United States,Active,2012,2012-present
620,Ashen Epitaph,Serbia,Active,2003,2003-present
621,Ashes,Poland,Active,1991,1991-1994| 2012-present
622,Ashes of Remembrance,United States,Split-up,2003,2003-?
623,Ashura,France,Unknown,2002,2002-?
624,Asilian,France,Active,2014,2014-present
625,Askalon,Poland,Split-up,1994,1994-2000| 2001-2002
626,Askalon,Poland,Split-up,1996,1996-?
627,Asma,Spain,Split-up,N/A,N/A
628,Asmodeous,United States,Unknown,N/A,N/A
629,Asmodeus,France,Split-up,1995,1995-?
630,Asmodeus,Germany,Split-up,N/A,N/A
631,Asmodeus,Sweden,Split-up,N/A,N/A
632,Asmodina,Germany,Split-up,1990,1990-1998
633,Asphixation,Germany,Active,2006,2006-present
634,Asphyxia,Ireland,Changed name,1986,1986-1992| 1992-1996 (as Morphosis)| 2006-2011 (as Morphosis)
635,Asphyxia,Japan,Split-up,N/A,N/A
636,Asphyxiated,United Kingdom,Active,2005,2005-present
637,Asphyxiation,Canada,Changed name,2001,2001-?| ?-present (as One Withinself)
638,Asphyxiation,Mexico,Active,2003,1999-2003 (as Exorcismo)| 2003-2008| 2008| 2009-present
639,Asphyxiation,Poland,Split-up,1990,1990-1992| 1992-?
640,Asphyxiation,Sweden,Split-up,1997,1997-?
641,Asphyxiation,United States,Split-up,N/A,N/A
642,Asphyxiation Infecta,United States,Active,2009,2009-present
643,Asphyxiator,United Kingdom,Split-up,1993,1993-1998
644,Aspiration,Finland,Split-up,1990,1990-?
645,Aspiration,Norway,Active,2000,2000-present
646,Ass Goblins,Netherlands,Split-up,2007,2007-?
647,Assail,United States,Split-up,2002,2002-?
648,Assailant,United States,Split-up,N/A,N/A
649,Assassinator,United States,Unknown,2009,2009-?
650,Assatur,Finland,Active,2011,2011-present
651,Assorted Nails,Germany,Active,2001,2001-present
652,Assot,Spain,Active,2010,2010-present
653,Astarot,Slovakia,Active,1992,1992-present
654,Astaroth,Israel,Split-up,1993,1993-?
655,Astaroth,Norway,Split-up,1993,1993-?
656,Astaroth,United States,Split-up,1991,1991-1995
657,Astaroth,United States,Split-up,1991,1991-?
658,Astarus,Philippines,Active,1993,1993-present
659,Asterlot,Brazil,On hold,1993,1991-1993 (as Bonesawer)| 1993-present
660,Astigarraga Thrower,Spain,Active,2015,2015-present
661,Astraes Pestis,United States,Active,2013,2013-present
662,Astral,Italy,Split-up,N/A,N/A
663,Astral Command,United States,Active,N/A,N/A
664,Astraria,Venezuela,Active,2008,2008-present
665,Astur,Peru,Active,2004,2004-present
666,Aswang,Malaysia,Unknown,2010,2010-?
667,Asylum,United Kingdom,Changed name,1989,1989-1991| 1991-1992 (as Nightfall)
668,Asylum Butchery,Australia,Active,2011,2011-present
669,Asylum of Apathy,Netherlands,Active,2010,2010-present
670,Asystole,United States,Changed name,1990,1990-?
671,At Gunpoint,United States,Split-up,2003,2003-2005
672,At the Grave,Denmark,Active,2013,2013-present
673,At Winter's End,Finland,Active,1996,1996-2001| 2008-present
674,Atacama,Poland,Split-up,N/A,N/A
675,Atakhama,Finland,Unknown,2004,2004-?
676,Ataque Epilético,Brazil,Active,2012,2012-present
677,Ataraxis,France,Unknown,2008,2008-?
678,Ataraxy,Spain,Active,2008,2008-present
679,Atavi,Colombia,Active,1997,? (as Aleister)| 1997-present
680,Ataxia,Canada,Active,2008,2008-present
681,Ataxia.F,Spain,Active,2001,2001-present
682,Aten,Albania,Active,2011,2011-present
683,Aten,Iceland,Split-up,2006,2006-?
684,AthanaTheos,France,Active,2012,2001-2006 (as Ill Divine)| 2006-2012 (as Soul Rejected)| 2012-present
685,Athanatos,Spain,Split-up,N/A,N/A
686,Athanor,Czech Republic,Split-up,1990,1990-?
687,Athematic,Indonesia,Active,2010,2005-2007 (as Orbit)| 2007-2010 (as Anackuman)| 2010-present
688,Athena's Blade,Indonesia,Active,2011,2010-2011 (as Karnak)| 2011-present
689,Atheosophy,United States,Split-up,2001,2001-?
690,Athiria,Austria,Active,2011,2011-present
691,Athron,Romania,Split-up,N/A,N/A
692,Athrox,Netherlands,Split-up,1998,1998-2001
693,Atimormia,Argentina,Split-up,2003,2003-?
694,Atlantis,Germany,Active,1996,1996-present
695,Atobic,Denmark,Split-up,1996,1996-?| 2004-2009
696,Atomic Aggressor,Chile,Active,1985,1985-1992| 2007-present
697,Atomwinter,Germany,Active,2010,2010-present
698,Atonement,France,Split-up,N/A,N/A
699,Atrax Mantis,Ireland,Active,2004,2004-present
700,Atrepsia,Italy,Split-up,1999,1999-?
701,Atretic Intestine,Finland,Split-up,2006,2006-2016
702,Atreus,Belgium,Split-up,2003,1999-2003 (as Existence Denied)| 2003-2014
703,Atricide,United States,Split-up,N/A,N/A
704,Atroce,Canada,Active,2012,2012-present
705,Atropos,Germany,Active,1998,1998-present
706,Atropos,United States,Changed name,N/A,?| ? (as Laverdine)
707,Atrox,Germany,Split-up,N/A,N/A
708,Attack,Colombia,Split-up,1989,1989-?
709,Attitude,Chile,Unknown,2004,2004-?
710,Auffe Omme,Germany,Unknown,2003,2003-?
711,AUM,France,Active,N/A,N/A
712,Aura Hate,Italy,Split-up,N/A,N/A
713,Aurora,United States,Active,2012,2012-present
714,Aurum Solis,Poland,Active,2009,2009-present
715,Auschwitz,Colombia,Split-up,N/A,N/A
716,Auspicious,Indonesia,Active,N/A,N/A
717,Autarkeon,France,Active,2011,2011-present
718,Authority Fights Majority,United States,Split-up,N/A,N/A
719,Authority of Hate,Russia,Active,2005,2005-present
720,Authorize,Sweden,Split-up,1990,1988-1990 (as Morbid Fear)| 1990-?
721,Autism,United States,Split-up,N/A,N/A
722,Autism,United States,Split-up,N/A,N/A
723,Autolysis,Australia,Active,2003,2003-2004| 2007-present
724,Automation,Australia,Split-up,1996,1996-2000
725,Autopsia,China,Active,2005,2005-present
726,Autopsia Mortal,Puerto Rico,Split-up,N/A,N/A
727,Autopsy,United States,Active,1987,1987-1995| 2008| 2009-present
728,Autopsy Torment,Sweden,On hold,1989,1989-?
729,Autumn Dawn,United States,Split-up,1996,1996-?
730,Autumn Nostrum,Germany,Split-up,1994,1994-2000
731,Avanguard,Italy,Split-up,2001,2001-?
732,Avelord,Spain,Split-up,2000,?-2006| 2000-? (as Vestal Decadence)
733,Aventauer,Poland,Split-up,N/A,1988-?
734,Avernus Ortus,United States,Active,2008,2008-present
735,Aversives,Luxembourg,Active,2011,2011-present
736,Aversão,Brazil,Active,2009,2009-present
737,Avoidness,Sweden,Split-up,1991,1991-?
738,Avoimen Haudan Löyhkä,Finland,Split-up,2007,2007-?
739,Avulsed,Spain,Active,1992,1992-present
740,Avulsion,United States,Active,1994,1994-present
741,Await the Desolation,United States,Active,2012,2012-present
742,Await the End,Sweden,Split-up,2008,2008-2011
743,Awaiting Fear,Serbia,Split-up,2007,2007-2014
744,Awaiting the Alcoholocaust,United States,Split-up,2002,? (as Morning Stiffness)| 2002-2010
745,Awaken Horror,Sweden,Split-up,2003,2003-?
746,Awareness,Canada,Changed name,1995,1995-?
747,Awkward,Italy,Split-up,1994,1994-?
748,Awoken by Death,Australia,Active,2010,2010-present
749,Axcutor,Korea| South,Active,2007,2007-present
750,Axe of Vengeance,United States,Active,1999,1999-present
751,Axis Powers,Sweden,Active,1997,1997-present
752,Axon,Mexico,Active,2001,2001-present
753,Ayahuasca,Portugal,Unknown,N/A,N/A
754,Azagthoth,United Kingdom,Split-up,1985,1985-1987
755,Azathoth,Italy,Active,1996,1996-present
756,Azathoth,United States,Split-up,1990,1990-1997
757,Azatoth,Sweden,Split-up,1992,1992-1996
758,Azoemia,Spain,Active,2010,2010-2011 (as Mortuario)| 2011-present
759,Azooma,Iran,Active,2004,2004-present
760,Azorrague,Brazil,Active,2007,2007-present
761,Azrael,Portugal,Split-up,1998,1998-2000| 2008
762,Azrael,Switzerland,Split-up,1991,1991-?
763,Azrail,South Africa,Active,2006,2006-present
764,Aäzylium,France,Active,2008,2008-present
765,Aïwass,France,Active,2005,2005-present
766,B.G.T.,Germany,On hold,1996,1996-2007
767,B.H.P.,Croatia,Split-up,1991,1991-?
768,Back from Death,United States,Active,2009,2009-present
769,Backlash,Netherlands,Active,1999,1999-2005| 2009-present
770,Backyard Mortuary,Australia,Split-up,2002,?-2002 (as Necropsy)| 2002-2014
771,Bacrus,Colombia,Unknown,1989,1989-1992| 1989-?| 1989-?
772,Bad Comedy,Czech Republic,Unknown,N/A,N/A
773,Bad Taste,Spain,Split-up,1990,1990-?
774,Bad to the Bone,Italy,Split-up,1998,1998-2008
775,Badass Commander,Canada,Active,N/A,N/A
776,Badoc,Germany,Active,2004,2004-present
777,Bael,United States,Split-up,N/A,N/A
778,Baldrian,Italy,Active,2005,2005-present
779,Balvaz,Norway,Split-up,1989,1987-1989 (as Braindead)| 1989-1991
780,Banished,United States,Changed name,1992,1987-1992 (as Baphomet)| 1992-1994| 2013-present (as Baphomet)
781,Banished from Inferno,Spain,Active,2002,2002-2007 (as Berenice Bleeding)| 2007-present
782,Baphomet,United States,Active,1987,1987-1992| 1992-1993 (as Banished)| 2013-present
783,Baptism of Hate,Australia,Split-up,N/A,N/A
784,Baptizm,Indonesia,On hold,2003,2003-2005
785,Baraque's Lord,Brazil,On hold,2002,2002-2009
786,Baratro,Italy,Split-up,1990,1990-?
787,Barback,France,Split-up,1988,1988-1993
788,Barbarie Medieval,Colombia,Active,1991,1991-?| 2012-present
789,Barbarikvltt,Chile,Active,2011,2011-present
790,Barbarism,United States,Active,2007,2004-2007 (as Absolute Destruction)| 2007-present
791,Barial,Chile,Split-up,1999,1999-2003
792,Barney UV,Netherlands,Split-up,N/A,N/A
793,Baron,Germany,Split-up,1997,1997-2003
794,Barry the Mortician,United States,Active,2012,2012-present
795,Bassaium,Japan,Active,1998,1998-present
796,Bastard,Brazil,Active,2011,2011-present
797,Bastard,Colombia,Split-up,1991,1991-?
798,Bastard,Germany,Active,2000,2000-present
799,Bastard,Netherlands,Split-up,1989,1989-?
800,Bastard,Poland,Changed name,1990,1990-1993| 1993-? (as Lues Primaria)
801,Bastard Grave,Sweden,Active,2012,2012-present
802,Bastard Priest,Sweden,Active,2002,2002-2013
803,Bastard Son,Canada,Active,2011,2011-present
804,Bastard Sons,United States,Active,N/A,N/A
805,Bastardsword,Germany,Active,N/A,N/A
806,Bastion,Poland,Changed name,1994,1994-1995| 1995-present (as Isolated)
807,Basura,United States,Unknown,2000,2000-?
808,Bataklan,Belgium,Split-up,2000,2000-?
809,Bathed in Blood,Canada,Split-up,2004,2005-2011
810,Battalion,Belgium,Active,2001,2001-present
811,Battered Soul,United States,Split-up,1998,1998-?
812,Battering Ram,United States,Active,2006,2006-present
813,Be Fading Fast,Czech Republic,On hold,2006,2006-present
814,Beanflipper,Australia,Split-up,1993,1993-1998
815,Bear Mace,United States,Active,2012,2012-present
816,Beard,United States,Split-up,2012,2012-2014
817,Beast Conjurator,Brazil,Split-up,2009,2009-2016
818,Beast Underneath,Sweden,Active,N/A,N/A
819,Beastion,Poland,Split-up,1993,1993-?
820,Beastkeeper,United States,Split-up,2006,2006-2009| 2006-?
821,Beatcoffin Bastard,Finland,Active,2006,2006-present
822,Beating Dead Meat,Finland,Active,2013,2013-present
823,Bedevilment,Germany,Active,1997,1993-1997 (as Bloodsoul)| 1997-present
824,Bedlamite,Sweden,Split-up,2010,2010-2013
825,Beegar,Brazil,Split-up,1996,1996-?
826,Beeravore,United States,Active,2007,2007-present
827,Before an Empty Throne,United States,Unknown,N/A,N/A
828,Before the War,Slovakia,Unknown,N/A,N/A
829,Befouled,Norway,Active,N/A,N/A
830,Begraven,Germany,Split-up,2012,2012-2014
831,Behavior,Brazil,Active,2008,2008-present
832,Behead the Lamb,United States,Active,2007,2007-present
833,Beheader,Brazil,Active,2009,2009-present
834,Behemoth,Spain,Split-up,1993,1993-?
835,Behind the Hill,France,Active,2011,2011-present
836,Beholding Signs,Mexico,Active,1994,1994-1996| 1999-2002| 2004| 2014-present
837,Belching Beet,Germany,Active,1987,1987-present
838,Belfegore,Chile,Active,2002,2002-present
839,Belial,Australia,Active,N/A,?-? (as Diablo)| ?-present
840,Belial,Colombia,Active,1989,1989-1996| 2003-present
841,Belial,United Kingdom,Split-up,1984,1984-?
842,Belial,United States,Active,2003,? (as Final Hour)| ? (as Leviathan)| 2003-present
843,Beliar,Poland,Split-up,1992,1992-?
844,Beliard,Mexico,Active,N/A,N/A
845,Belief,Italy,Split-up,1993,1993-?
846,Bell Witch,Portugal,Split-up,1996,1996-?
847,Belle Gunness,Netherlands,Split-up,2004,2004-2007
848,Bellicosity,United States,Changed name,2011,2011-2013| 2013-present (as Limbsplitter)
849,Belligerent,United States,Split-up,1999,1999-?
850,Belsebub,Sweden,Split-up,1989,1989-?
851,Beneath Contempt,Belgium,Active,2008,2008-present
852,Beneath the Flesh,United States,Split-up,2004,2004-?
853,Beneath the Remains,United States,Active,2010,2010-present
854,Beneath the Thorns,United States,Split-up,2004,2004-?
855,Benediction,United Kingdom,Active,1989,1989-present
856,Benefection,Malaysia,Split-up,2001,2001-?
857,Benevolence,United States,On hold,1997,1994-1996 (as Necrosis)| 1996-1997 (as Exhumation)| 1997-2012
858,Benighted,Sweden,Split-up,1993,1990-1991 (as Toxic Breath)| 1991-1993 (as Sickness)| 1993-1997
859,Bentara,Malaysia,Active,2010,2010-present
860,Bereaved,Germany,Split-up,N/A,N/A
861,Bereaved,Ireland,Split-up,1989,1989-?
862,Bereavement,Austria,Active,1993,1993-1996| 2002-present
863,Bereavement,France,Split-up,2004,2004-?
864,Bereavement,France,Split-up,1997,1997-?
865,Berial,Poland,Split-up,1995,1995-?
866,Berith,Brazil,Split-up,1995,1993-1995 (as Devilcrusher)| 1995-2000| 2005-2007
867,Berserk,Austria,Split-up,1997,1997-?
868,Berserk,Brazil,Active,2010,2010-present
869,Berserk,Sweden,Split-up,1993,1993-?
